category,item_name,price,desc,dietary_slugs,tag_slugs,service_slugs,id,min_price,max_price,default_price,display_price,variant_id,parent_menu_id,image_url,image_thumb_url,always_show_on_checkout,is_bogo_active,order,auto_add,auto_add_quantity,show_image,visible,state,rating,free_dish_quantity,type,added_bottom_text_field,not_added_bottom_text_field,disabled_text,secondary_tag_slugs,entity_type,primary_tag_slug,food_legends,search_alias,metadata,added_bottom_text,not_added_bottom_text,not_added_bottom_text_color,remove_popup_text,auto_add_toast_message,auto_already_added_toast_message,remove_popup_title,vendor_id,tag_ids,tag_image,hide_in_meals_menu,modifier_group_ids,enable_customisation_on_cart,customisation_tracking_metadata
Afternoon Special Snacks (A La Carte),Panuozzo - Mushroom & Bell Peppers,329.0,"Bell pepper, mushroom, caramalized onion pizza sandwich",veg,veg,delivery-enabled,ctl_675731513,329.0,329.0,329.0,329.0,v_909365855,ctg_49258089,https://b.zmtcdn.com/data/dish_photos/bb3/3d50fa0f3e4442f97d94b62bbf2e4bb3.png,https://b.zmtcdn.com/data/dish_photos/bb3/3d50fa0f3e4442f97d94b62bbf2e4bb3.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,1,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Afternoon Special Snacks (A La Carte),"{""v"":909365855,""s_ctg"":72194058,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""panuozzo---mushroom-bell-peppers""}",,,,,,,,SS-151,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Afternoon Special Snacks (A La Carte),Panuozzo - Eggplant Parmigiana,329.0,"Eggplant parmigiana, Basil pesto and spicy sauce Panuozzo",veg,veg,delivery-enabled,ctl_675731457,329.0,329.0,329.0,329.0,v_909365799,ctg_49258089,https://b.zmtcdn.com/data/dish_photos/427/3469d3dbb6cc9c7fcd591b6b83d0d427.png,https://b.zmtcdn.com/data/dish_photos/427/3469d3dbb6cc9c7fcd591b6b83d0d427.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,2,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Afternoon Special Snacks (A La Carte),"{""v"":909365799,""s_ctg"":72194058,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""panuozzo---eggplant-parmigiana""}",,,,,,,,15,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Afternoon Special Snacks (A La Carte),Panuozzo - Cherry Tomato & Olives,329.0,"Kalamata olives and Cherry Tomato confit, panuozzo",veg,veg,delivery-enabled,ctl_675731459,329.0,329.0,329.0,329.0,v_909365801,ctg_49258089,https://b.zmtcdn.com/data/dish_photos/7df/c8026646a663637cc4818ec3c87b37df.png,https://b.zmtcdn.com/data/dish_photos/7df/c8026646a663637cc4818ec3c87b37df.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,4,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Afternoon Special Snacks (A La Carte),"{""v"":909365801,""s_ctg"":72194058,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""panuozzo---cherry-tomato-olives""}",,,,,,,,17,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Afternoon Special Snacks (A La Carte),Panuozzo - Roasted Chicken With Pesto,379.0,"Roasted Chicken, Cow mozzarella Panuozzo",non-veg,non-veg,delivery-enabled,ctl_675731458,379.0,379.0,379.0,379.0,v_909365800,ctg_49258089,https://b.zmtcdn.com/data/dish_photos/091/0045f1596e4418698e5ccc710cb1f091.png,https://b.zmtcdn.com/data/dish_photos/091/0045f1596e4418698e5ccc710cb1f091.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,3,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Afternoon Special Snacks (A La Carte),"{""v"":909365800,""s_ctg"":72194058,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""panuozzo---roasted-chicken-with-pesto""}",,,,,,,,16,2,https://b.zmtcdn.com/data/o2_assets/5d4de18a3d402878965275e9f24656951635253564.png,1,,,
Afternoon Special Snacks (A La Carte),Premium Belgian Roasted Pork Bacon Panuozzo,449.0,"fior di latte, Basil pesto, spicy sauce, Roasted Bacon, Blue cheese, arugula, Caremalized Onion, Parmesan",non-veg,non-veg,delivery-enabled,ctl_675731523,449.0,449.0,449.0,449.0,v_909365865,ctg_49258089,https://b.zmtcdn.com/data/dish_photos/0af/5ab193f2baf179420c46eb184217b0af.png,https://b.zmtcdn.com/data/dish_photos/0af/5ab193f2baf179420c46eb184217b0af.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,5,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Afternoon Special Snacks (A La Carte),"{""v"":909365865,""s_ctg"":72194058,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""premium-belgian-roasted-pork-bacon-panuozzo""}",,,,,,,,NEW-11,2,https://b.zmtcdn.com/data/o2_assets/5d4de18a3d402878965275e9f24656951635253564.png,1,,,
Bites To Start,Focaccia Al Rosmarino,229.0,"Sourdough pizza dough, Maldon sea salt flakes, rosemary, EVOO",veg,veg,delivery-enabled,ctl_675731499,229.0,229.0,229.0,229.0,v_909365841,ctg_49258080,https://b.zmtcdn.com/data/dish_photos/2f0/5bae8626d80c0fe6dc2f850d6bb682f0.png,https://b.zmtcdn.com/data/dish_photos/2f0/5bae8626d80c0fe6dc2f850d6bb682f0.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,1,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Bites To Start,"{""v"":909365841,""s_ctg"":72194049,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""focaccia-al-rosmarino""}",,,,,,,,SS-01,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Bites To Start,Garlic Sourdough,229.0,"Garlic bread with oregano, EVOO",veg,veg,delivery-enabled,ctl_675731500,229.0,229.0,229.0,229.0,v_909365842,ctg_49258080,https://b.zmtcdn.com/data/dish_photos/5ca/d6e3c282f6843df3310e3a68194f85ca.png,https://b.zmtcdn.com/data/dish_photos/5ca/d6e3c282f6843df3310e3a68194f85ca.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,2,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Bites To Start,"{""v"":909365842,""s_ctg"":72194049,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""garlic-sourdough""}",,,,,,,,SS-02,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Bites To Start,Focaccia With Tomato & Mozzarella,299.0,"Sourdough pizza dough with light tomato base, oregano, Fior di latte mozzarella, EVOO",veg,veg,delivery-enabled,ctl_675731511,299.0,299.0,299.0,299.0,v_909365853,ctg_49258080,https://b.zmtcdn.com/data/dish_photos/82a/7a9b3a9bdf0bf029fa70a3fdfc5fd82a.png,https://b.zmtcdn.com/data/dish_photos/82a/7a9b3a9bdf0bf029fa70a3fdfc5fd82a.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,3,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Bites To Start,"{""v"":909365853,""s_ctg"":72194049,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""focaccia-with-tomato-mozzarella""}",,,,,,,,SS-03,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Desserts,Hazelnut Chocolate & Sourdough Balls,429.0,"Fried dough, hazelnut chocolate sauce",veg,veg,delivery-enabled,ctl_675731521,429.0,429.0,429.0,429.0,v_909365863,ctg_49258085,https://b.zmtcdn.com/data/dish_photos/46d/61bf37430bca18363e17d2f2b9d0c46d.png,https://b.zmtcdn.com/data/dish_photos/46d/61bf37430bca18363e17d2f2b9d0c46d.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,2,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Desserts,"{""v"":909365863,""s_ctg"":72194054,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""hazelnut-chocolate-sourdough-balls""}",,,,,,,,SS-38,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Desserts,Nonna's Famous Tiramisu,479.0,"Mascarpone cream, Eggs, Savoiardi biscuit, espresso and dark rum",egg,egg,delivery-enabled,ctl_675731524,479.0,479.0,479.0,479.0,v_909365866,ctg_49258085,https://b.zmtcdn.com/data/dish_photos/e60/58191b418d719debc8b87b069b57ee60.png,https://b.zmtcdn.com/data/dish_photos/e60/58191b418d719debc8b87b069b57ee60.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,1,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Desserts,"{""v"":909365866,""s_ctg"":72194054,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""nonna-s-famous-tiramisu""}",,,,,,,,SS-37,24,https://b.zmtcdn.com/data/o2_assets/5d4de18a3d402878965275e9f24656951635253564.png,1,,,
Dip Your Dough,Nonna'S Homemade Spicy Dip,99.0,Nonna's homemade spicy dip,veg,veg,delivery-enabled,ctl_675731481,99.0,99.0,99.0,99.0,v_909365823,ctg_49258082,https://b.zmtcdn.com/data/dish_photos/682/88c2c222cfcd23dd504e39e954836682.png,https://b.zmtcdn.com/data/dish_photos/682/88c2c222cfcd23dd504e39e954836682.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,1,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Dip Your Dough,"{""v"":909365823,""s_ctg"":72194051,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""nonna-s-homemade-spicy-dip""}",,,,,,,,SS-13,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Dip Your Dough,Nonna'S Homemade Basil Pesto Dip,99.0,Nonna's homemade Basil pesto dip,veg,veg,delivery-enabled,ctl_675731480,99.0,99.0,99.0,99.0,v_909365822,ctg_49258082,https://b.zmtcdn.com/data/dish_photos/0a7/62bfa78992e238c95ce72c0d29e9d0a7.png,https://b.zmtcdn.com/data/dish_photos/0a7/62bfa78992e238c95ce72c0d29e9d0a7.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,2,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Dip Your Dough,"{""v"":909365822,""s_ctg"":72194051,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""nonna-s-homemade-basil-pesto-dip""}",,,,,,,,SS-14,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Dip Your Dough,Nonna'S Homemade Sumac Garlic Yogurt Dip,99.0,Nonna's homemade sumac garlic yogurt dip,veg,veg,delivery-enabled,ctl_675731482,99.0,99.0,99.0,99.0,v_909365824,ctg_49258082,https://b.zmtcdn.com/data/dish_photos/b07/8712db37dfb9a2f661552c0656bfeb07.png,https://b.zmtcdn.com/data/dish_photos/b07/8712db37dfb9a2f661552c0656bfeb07.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,3,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Dip Your Dough,"{""v"":909365824,""s_ctg"":72194051,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""nonna-s-homemade-sumac-garlic-yogurt-dip""}",,,,,,,,SS-15,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Dip Your Dough,Buy Any Two Dips,175.0,,veg,veg,delivery-enabled,ctl_675731497,175.0,175.0,175.0,175.0,v_909365839,ctg_49258082,https://b.zmtcdn.com/data/dish_photos/5d0/36e94a994e71cbd4f0e3822e897845d0.png,https://b.zmtcdn.com/data/dish_photos/5d0/36e94a994e71cbd4f0e3822e897845d0.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,5,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Dip Your Dough,"{""v"":909365839,""s_ctg"":72194051,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""buy-any-two-dips""}",,,,,,,,SS-160,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,mg_2770762286,False,"{""exp_no"":1,""default_v_price"":175,""lowest_v_price"":175,""highest_v_price"":175,""total_mgs"":1,""total_v_count"":1,""properties"":-1}"
Dip Your Dough,All 3 Dips,250.0,"Nonna's homemade spicy dip, basil pesto dip and sumac garlic yogurt dip.",veg,veg,delivery-enabled,ctl_675731508,250.0,250.0,250.0,250.0,v_909365850,ctg_49258082,https://b.zmtcdn.com/data/dish_photos/74b/78ecda06f937c2f9acf4a68888eea74b.png,https://b.zmtcdn.com/data/dish_photos/74b/78ecda06f937c2f9acf4a68888eea74b.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,4,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Dip Your Dough,"{""v"":909365850,""s_ctg"":72194051,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""all-3-dips""}",,,,,,,,SS-16,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Drinks (Beverages),Regular Coca Cola (300 Ml),38.1,,veg,veg,delivery-enabled,ctl_675731475,38.1,38.1,38.1,38.1,v_909365817,ctg_49258084,https://b.zmtcdn.com/data/dish_photos/0fc/11679edcd7c35f4f268be789700100fc.png,https://b.zmtcdn.com/data/dish_photos/0fc/11679edcd7c35f4f268be789700100fc.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,2,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Drinks (Beverages),"{""v"":909365817,""s_ctg"":72194053,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""regular-coca-cola-300-ml-""}",,,,,,,,SS-32,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Drinks (Beverages),Zero Coca Cola (300 Ml),38.1,,veg,veg,delivery-enabled,ctl_675731477,38.1,38.1,38.1,38.1,v_909365819,ctg_49258084,https://b.zmtcdn.com/data/dish_photos/939/8bb55e45e03d968159581a24d3bb0939.png,https://b.zmtcdn.com/data/dish_photos/939/8bb55e45e03d968159581a24d3bb0939.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,3,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Drinks (Beverages),"{""v"":909365819,""s_ctg"":72194053,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""zero-coca-cola-300-ml-""}",,,,,,,,SS-33,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Drinks (Beverages),Sprite (300 Ml),38.1,,veg,veg,delivery-enabled,ctl_675731476,38.1,38.1,38.1,38.1,v_909365818,ctg_49258084,https://b.zmtcdn.com/data/dish_photos/357/7d30d190fbf4fb4574ee920b0ad75357.png,https://b.zmtcdn.com/data/dish_photos/357/7d30d190fbf4fb4574ee920b0ad75357.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,4,0,0,True,False,available,,0,dish,,,,sprite,catalogue,,,Drinks (Beverages),"{""v"":909365818,""s_ctg"":72194053,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""sprite-300-ml-""}",,,,,,,,SS-34,"1,34,61,62,63",https://b.zmtcdn.com/images/sprite_logo_small.png,1,,,
Drinks (Beverages),Homemade Fresh Lemonade,299.0,Fresh Homemade Lemonade,veg,veg,delivery-enabled,ctl_675731512,299.0,299.0,299.0,299.0,v_909365854,ctg_49258084,https://b.zmtcdn.com/data/dish_photos/aa3/1d3d19fd126a46b4fe64536c52e8daa3.png,https://b.zmtcdn.com/data/dish_photos/aa3/1d3d19fd126a46b4fe64536c52e8daa3.png?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,0,False,1,0,0,True,False,available,,0,dish,,,,services,catalogue,,,Drinks (Beverages),"{""v"":909365854,""s_ctg"":72194053,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""homemade-fresh-lemonade""}",,,,,,,,SS-31,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Extra Topping,Steam Broccoli,25.0,,veg,veg,delivery-enabled,ctl_675731464,25.0,25.0,25.0,25.0,v_909365806,ctg_49258087,,,0,False,1,0,0,False,False,available,,0,dish,,,,services,catalogue,,,Extra Topping,"{""v"":909365806,""s_ctg"":72194056,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""steam-broccoli""}",,,,,,,,SS-118,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Extra Topping,Button Mushroom,30.0,,veg,veg,delivery-enabled,ctl_675731465,30.0,30.0,30.0,30.0,v_909365807,ctg_49258087,,,0,False,2,0,0,False,False,available,,0,dish,,,,services,catalogue,,,Extra Topping,"{""v"":909365807,""s_ctg"":72194056,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""button-mushroom""}",,,,,,,,SS-135,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
Extra Topping,Caramelized Onions,30.0,,veg,veg,delivery-enabled,ctl_675731466,30.0,30.0,30.0,30.0,v_909365808,ctg_49258087,,,0,False,3,0,0,False,False,available,,0,dish,,,,services,catalogue,,,Extra Topping,"{""v"":909365808,""s_ctg"":72194056,""cmb_sel"":0,""cmb"":0,""ff"":false,""ctl_n"":""caramelized-onions""}",,,,,,,,SS-141,1,https://b.zmtcdn.com/data/o2_assets/958e4cb4a8b255659daae2c430f976ea1608028693.png,1,,,
